favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2784,Twitter for Android,b'WOW!! BIG FIND in the NOAA #FOIA document dump tonight by @chrisgeidner re: Hurricane Dorian and the map Trump show\xe2\x80\xa6 https://t.co/gdiByPUHtV',JasonLeopold,False,Sat Feb 01 05:44:21 +0000 2020,1147,b'1223482198109696006'
13712,Twitter Web App,"b""Before he made Castle in the Sky, Miyazaki was in Wales, supporting the miner's strike.\n\nHe based the landscapes in\xe2\x80\xa6 https://t.co/j5i2obuxxw""",,False,Sat Feb 01 10:37:06 +0000 2020,3149,b'1223555868005933056'
71448,Twitter for iPhone,b'The ban imposed on #kunalkamra by 4 airlines is the act of a coward leveraging his influence with the Govt to silen\xe2\x80\xa6 https://t.co/QteHY2jkK8',,False,Wed Jan 29 15:23:52 +0000 2020,18175,b'1222540873587556353'
5240,Twitter Web App,"b'UPDATE: Viktor Shokin, Ukrainian Prosecutor General Biden wanted fired just filed a statement to Ukrainian law enfo\xe2\x80\xa6 https://t.co/tilTqz25MG'",,False,Fri Jan 31 18:10:30 +0000 2020,3473,b'1223307581483110401'
896,Twitter for iPhone,b'NEW: \xe2\x80\x98Maybe I have a natural ability\xe2\x80\x99: Trump plays medical expert on coronavirus by second-guessing the professiona\xe2\x80\xa6 https://t.co/s42vHqxYl4',,False,Sat Mar 07 01:35:03 +0000 2020,399,b'1236103033735569410'
1559,Twitter Web App,b'Tomorrow in CA I will #ChooseWarren as I have long planned to do. If you feel the urge to lecture me right now abou\xe2\x80\xa6 https://t.co/TwrIZsLZmB',,False,Mon Mar 02 20:42:37 +0000 2020,231,b'1234579888377454593'
1863,Twitter for iPhone,b'Sure is gonna be something seeing performative woke Twitter start trashing America\xe2\x80\x99s first two Muslim congresswomen\xe2\x80\xa6 https://t.co/7Dgx0lKpS5',,False,Sat Feb 01 05:18:12 +0000 2020,264,b'1223475617062162432'
1602,Twitter Web App,"b'Forgive me, but I have to say this: imagine if Barack Obama had referred to himself as ""America\'s Greatest Presiden\xe2\x80\xa6 https://t.co/a8CSR8g4Tz'",,False,Sat Feb 01 15:38:29 +0000 2020,310,b'1223631713798098944'
1689,Twitter for iPhone,"b'As a Brit, one of the most grating aspects of this case has been the determination of Weinstein\xe2\x80\x99s lawyer to litigat\xe2\x80\xa6 https://t.co/RpzBQckKvY'",,False,Wed Mar 11 16:38:15 +0000 2020,200,b'1237779883792760837'
1583,Twitter for iPhone,b'I think we\xe2\x80\x99ve reached the point where we can say it is a statistical impossibility that Turkey does not have a sing\xe2\x80\xa6 https://t.co/U0GcBFUclo',,False,Fri Mar 06 20:42:50 +0000 2020,528,b'1236029494818938880'
1088,Twitter Web App,b'Senator @RonWyden &amp; I are sounding the \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8: \n\nTrump administration is pushing a proposed RULE threatening earned Soc\xe2\x80\xa6 https://t.co/8PZvoXIlek',,False,Tue Jan 28 16:53:02 +0000 2020,1028,b'1222200923214184448'
7106,Twitter Web App,b'How the fuck did coronavirus get to Far Rockaway\n\nYou can barely get there on the subway',,False,Sat Mar 07 19:16:32 +0000 2020,1189,b'1236370163970256896'
9693,Twitter for iPhone,b'Tell me Rue... how\xe2\x80\x99d it feel ?\xf0\x9f\x96\xa4 https://t.co/jrQL0smkG9',,False,Wed Mar 04 18:54:28 +0000 2020,703,b'1235277449052610561'
4441,Twitter for iPhone,b'The secret\xe2\x80\x99s out.. I\xe2\x80\x99m swapping one ballroom for another! From September 2020 I\xe2\x80\x99ll be waltzing around the UK &amp; Irel\xe2\x80\xa6 https://t.co/rDZ4ANhJvv',,False,Fri Mar 13 08:41:46 +0000 2020,120,b'1238384745261793280'
7731,Twitter for iPhone,b'Good News!! Ramon Bueno was sentenced to 85.5 years in prison for shooting me and shooting at Tpr Rey Cruz and Tpr\xe2\x80\xa6 https://t.co/YYvTyc1kTN',,False,Wed Jan 29 19:28:40 +0000 2020,404,b'1222602480199987200'
696,Twitter Web App,"b""I feel like celebrating the fact that it didn't actually rain at sunrise this morning! It was, however, blowing a g\xe2\x80\xa6 https://t.co/InXXrOtoEL""",,False,Wed Feb 26 07:44:31 +0000 2020,121,b'1232572135840919552'
4765,Twitter for iPhone,b'Didn\xe2\x80\x99t touch you but still made you feel me https://t.co/9yaSMZJh5e',,False,Tue Mar 03 00:22:57 +0000 2020,276,b'1234635337420414982'
1013,Twitter for Android,"b""With whom you're in love with, according to your birthday month?\nJan: shownu\nFeb: shownu\nMar: shownu\nApr: shownu\nMa\xe2\x80\xa6 https://t.co/fjmeGPCG1B""",,False,Mon Feb 03 15:22:29 +0000 2020,528,b'1224352464096284672'
2395,Twitter for iPhone,"b'New national Quinnipiac poll: 75% (!) of voters, including a 49% plurality of Republicans, say witnesses should be\xe2\x80\xa6 https://t.co/1FRPiz15uQ'",,False,Tue Jan 28 20:03:24 +0000 2020,700,b'1222248830114156547'
657,Twitter Web App,"b""Morrison speech:\n\n-Links response to 'patriotism'\n-Encourages employers to pay all their workers sick pay &amp; pay the\xe2\x80\xa6 https://t.co/HJ3szbJQFN""",,False,Mon Mar 09 21:45:06 +0000 2020,231,b'1237132326267568128'
13250,TweetDeck,b'NDTV\xe2\x80\x99s Nidhi Razdan interacted regularly with Twitter account of ISIS suspects who instigated Muslims to join anti-\xe2\x80\xa6 https://t.co/SY2mhCtSWh',,False,Mon Mar 09 13:45:00 +0000 2020,7236,b'1237011506019041280'
303,Twitter for Android,"b'1st degree block- When you have a direct confrontation with a tweep&amp; get blocked.\n\n2nd degree block- When you ""kiki\xe2\x80\xa6 https://t.co/arNyO1OeR4'",,False,Tue Mar 10 17:42:05 +0000 2020,133,b'1237433560606420992'
3504,Twitter for iPhone,b'I think I may have found the #coronavirus super spreader\n\nhttps://t.co/oAx3Xk59ZC',,False,Sat Mar 07 09:43:42 +0000 2020,1130,b'1236226006765182977'
2557,Twitter for iPhone,b'If the coronacrisis in the UK becomes nearly as severe as Italy (still if) the British state will have to be reconf\xe2\x80\xa6 https://t.co/LR5Kr9LIfr',,False,Mon Mar 09 06:53:02 +0000 2020,538,b'1236907831355416578'
5255,Twitter for Android,"b""If I was a Tory MP today I'd be shitting myself. For 47 years they've been able to blame every terrible consequence\xe2\x80\xa6 https://t.co/1nDjJht2Ph""",,False,Sat Feb 01 12:41:48 +0000 2020,936,b'1223587249868234752'
8359,Twitter Media Studio,"b'Happy #LeapDay! To celebrate, watch a red fox on the hunt in Yellowstone https://t.co/oLYja8X7a5'",,False,Sat Feb 29 23:04:00 +0000 2020,1746,b'1233890692176531457'
5784,Twitter for iPhone,b'Can\xe2\x80\x99t wait to see how media will spin this into another victory for Beto.\n\nDems targeted this race and they lost by\xe2\x80\xa6 https://t.co/tOviWDitUj',,False,Wed Jan 29 16:49:21 +0000 2020,1976,b'1222562383849193472'
972,Twitter for Android,b'Thousands of Palestinians mourn the body of the child Qais Abu Ermila in the blessed Al Aqsa Mosque.\nThe child was\xe2\x80\xa6 https://t.co/6UYDhrspWZ',,False,Sun Jan 26 05:31:57 +0000 2020,698,b'1221304749938659328'
395,TweetDeck,b'Hamas terrorist Khalil Ibrahim Al-Shuntaf died today while digging a tunnel to help kill Jews.\n\nBaruch Dayan HaEmet\xe2\x80\xa6 https://t.co/UD2MLMoQuI',,False,Fri Jan 31 02:29:00 +0000 2020,68,b'1223070645967294465'
1988,Twitter for Android,"b'Have you ever seen a government than this that, like a petulant 5-year old, puts out names, addresses and phone num\xe2\x80\xa6 https://t.co/p2eZF1rNCD'",,False,Fri Mar 06 15:02:15 +0000 2020,901,b'1235943783751012354'
176,Twitter for Android,b'some big news!!!!! https://t.co/3clfLsqZRx',,False,Fri Jan 31 18:53:14 +0000 2020,1,b'1223318338262261760'
2140,Twitter Web App,b'Florida has now declared a health emergency over Coronavirus and the number of cases in US tripled since Wednesday\xe2\x80\xa6 https://t.co/8JtvlNEXXW',,False,Mon Mar 02 14:15:21 +0000 2020,942,b'1234482428342919170'
3626,Twitter for iPhone,"b'Somewhere in Wuhan, three unknown people are wearing protective clothing but holding guns @SolomonYue\xe2\x80\xa6 https://t.co/NBPCBBCvKB'",,False,Sat Feb 01 14:30:03 +0000 2020,3239,b'1223614491415334912'
162,Twitter Web Client,b'Deputy White House counsel Pat Philbin on the Senate floor: \xe2\x80\x9cHow are we supposed to get the proof of what\xe2\x80\x99s inside\xe2\x80\xa6 https://t.co/n17paLcT2I',,False,Tue Jan 28 18:33:35 +0000 2020,49,b'1222226229446750214'
407,Twitter for iPhone,b'John Bolton told GOP donors that Trump is \xe2\x80\x98mentally unstable\xe2\x80\x99: report \xe2\x80\x93 Raw Story https://t.co/HjpL7R0AY5',,False,Tue Jan 28 21:10:59 +0000 2020,139,b'1222265841372352513'
1772,Twitter for iPhone,"b'""We visited the Five Hundred Acre Wood to see the great tree, one to climb it, three to watch. And of those who wat\xe2\x80\xa6 https://t.co/0bSh39F1ex'",,False,Fri Feb 28 06:51:59 +0000 2020,374,b'1233283690823811072'
253,Twitter for Android,"b'A 93-yr old Nazi found living in Tennessee, still receiving WWII pension AND receiving Social Security checks is be\xe2\x80\xa6 https://t.co/LjuKdh7q0m'",,False,Mon Mar 09 09:41:53 +0000 2020,156,b'1236950326009200641'
2044,Twitter for iPhone,b'Senator Dianne Feinstein is conforming that today\xe2\x80\x99s LA Times report about her leaning toward acquitting Trump is FA\xe2\x80\xa6 https://t.co/egzAA2ybKc',,False,Tue Jan 28 22:55:23 +0000 2020,606,b'1222292111069995011'
4683,Twitter for iPhone,b'This is an outrage. https://t.co/oPFaLk4lt9',,False,Sun Mar 08 03:19:23 +0000 2020,2327,b'1236491677780660226'
1673,Twitter Web App,"b'@FLOTUS @WhiteHouse At least 314 people with the Covid-19 illness have been treated in 28 states, and at least 17 p\xe2\x80\xa6 https://t.co/zK2Pk5g9GV'",FLOTUS45,False,Sat Mar 07 17:25:19 +0000 2020,673,b'1236342175811506176'
23,Twitter for iPhone,"b'Agent Peely, Hybrid, and Zenith have been ELIMINATED!\n\nVote for the next three you want OUT!! https://t.co/BYnKe2ZYKB'",,False,Fri Mar 13 01:17:05 +0000 2020,1,b'1238272839196827650'
3467,Twitter Web App,b'Tomorrow the #Trump campaign will be spending $11 million on one single #Superbowl ad. Trump does not tell the trut\xe2\x80\xa6 https://t.co/7g5e3t5O3u',,False,Sat Feb 01 17:00:00 +0000 2020,2594,b'1223652228264873992'
3692,Twitter for iPhone,b'Continuing my 90th birthday celebrations with another 2/3rd of my family coming from all over the country.\xe2\x80\xa6 https://t.co/dsxZ78LX8T',,False,Mon Feb 03 05:18:42 +0000 2020,204,b'1224200516877590528'
7201,Twitter Web App,b'Happy birthday to my sister in service @AyannaPressley!\n\nYou disrupt the status quo and embrace who you are. And yo\xe2\x80\xa6 https://t.co/xruo6uihqU',,False,Mon Feb 03 19:33:36 +0000 2020,421,b'1224415658022227969'
5044,Twitter for iPhone,b'No more #SmokeAndMirrors.\n\nThe president has confessed to everything he\xe2\x80\x99s been accused of.\n\nHe asked a foreign powe\xe2\x80\xa6 https://t.co/52zPYnCBdc',,False,Thu Jan 30 02:54:04 +0000 2020,1595,b'1222714566301421568'
12032,Twitter for iPhone,"b""The 87-year old patient stayed in Wu Han hospital for nearly a month, haven't see the sunset since then. On his way\xe2\x80\xa6 https://t.co/j65LrVotER""",,False,Sat Mar 07 04:01:49 +0000 2020,7052,b'1236139967241281536'
396,Twitter for iPhone,b'Costco banning free samples over coronavirus. https://t.co/usFpGHijEY',,False,Sat Mar 07 01:54:14 +0000 2020,219,b'1236107860569808896'
1061,Twitter Web App,"b'Public concern about the spread of the #coronavirus is rising. President Trump, meanwhile, evidently decided that t\xe2\x80\xa6 https://t.co/tlo0kcPeUX'",,False,Sat Mar 07 20:39:06 +0000 2020,681,b'1236390941981802496'
4126,Buffer,b'Entropy is the measure of the disorder of a system. \n\nEx: A block of ice will increase entropy as it melts. As ice\xe2\x80\xa6 https://t.co/JcTinSCHtG',,False,Wed Mar 11 13:17:02 +0000 2020,1074,b'1237729243754303489'
8071,Twitter for iPhone,b'#DemiLovato killed it with her powerful rendition of the National Anthem! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8Thoughts? #SuperBowl https://t.co/nvLObkZW19',,False,Sun Feb 02 23:44:50 +0000 2020,1996,b'1224116497519431680'
791,Twitter for iPhone,b'One of the four patients in New Jersey who tested positive for coronavirus after initial testing apparently travele\xe2\x80\xa6 https://t.co/sS4Bj8tFtN',,False,Sun Mar 08 00:47:57 +0000 2020,202,b'1236453566681882626'
5071,Twitter Web App,"b""Arkansas can only test five patients for Coronavirus per day.\n\nMaine can't test any yet. \n\nWashington State has a b\xe2\x80\xa6 https://t.co/IWjBtwCSqq""",,False,Sat Mar 07 03:17:59 +0000 2020,3506,b'1236128939376095232'
16855,Twitter Web App,b'what our president has done to fight the coronavirus:\n- praised himself\n- called it a hoax\n- blamed Obama\n- worn a\xe2\x80\xa6 https://t.co/VtwukRU6FS',,False,Sat Mar 07 18:48:25 +0000 2020,5081,b'1236363090071035905'
3214,Twitter Web App,b'So this dead-on-arrival speech from Trump does underscore that virtually every major international issue the US fac\xe2\x80\xa6 https://t.co/Dt5gYpbTya',,False,Thu Mar 12 01:21:45 +0000 2020,941,b'1237911625337843713'
136422,Twitter for iPhone,b'It is a sad day for America to see Senator McConnell humiliate the Chief Justice of the United States into presidin\xe2\x80\xa6 https://t.co/Ffl5rBJiju',,False,Sat Feb 01 14:31:40 +0000 2020,29999,b'1223614899034652673'
14952,Twitter Web App,"b'""When you feel like giving up, \nremember \nwhy you held on for so long in the first place""\n\n(The Pilgrimage, by @paulocoelho )'",,False,Tue Mar 03 02:10:36 +0000 2020,5372,b'1234662429734268928'
594,Twitter Web App,b'I feel like the most powerful witch to have ever touched the earth\n\n#FFXIV - #ff14 - #roegadyn - #femroe https://t.co/BvuOY719YV',,False,Wed Feb 26 04:13:00 +0000 2020,190,b'1232518902388809728'
37065,Twitter for iPhone,b'I see lots of reporters tweeting that Coronavirus is Trump\xe2\x80\x99s first crisis that he didn\xe2\x80\x99t create. \n\nHurricane Maria\xe2\x80\xa6 https://t.co/Ms3kVLUi6t',,False,Sat Mar 07 14:13:08 +0000 2020,8870,b'1236293810252066816'
1856,Echofon,"b'NBA has informed teams that all should have guidelines for coronavirus in place by March 10, such as:\n- Arrangement\xe2\x80\xa6 https://t.co/HXhss4wGBI'",,False,Sun Mar 08 00:28:32 +0000 2020,369,b'1236448680468787200'
19119,Twitter for iPhone,b'MLB: we want more people to watch games\n\nfans: can i watch my team without being blacked out?\n\nMLB: maybe we should\xe2\x80\xa6 https://t.co/F9Nx5lf3CP',,False,Tue Feb 25 01:42:42 +0000 2020,3393,b'1232118690696613888'
646,Twitter for iPhone,b'Wow. So according to #Dershowitz if a President abuses power there is no remedy at all no matter how destructive it\xe2\x80\xa6 https://t.co/kik3e4jGNf',,False,Tue Jan 28 01:10:02 +0000 2020,187,b'1221963610802417664'
1610,Twitter for iPhone,b'Kid gets expelled for playing porn intro song. I say bullshit! Kid is as talented as ever! Boycotting this suspensi\xe2\x80\xa6 https://t.co/pgp1HYWtM3',,False,Fri Jan 31 03:36:29 +0000 2020,307,b'1223087630432292866'
750,Twitter Web App,"b""Is there anything Trump won't politicize? No. The ghastly story of the doctored weather forecast https://t.co/YHWxghqtqh""",,False,Sat Feb 01 14:03:34 +0000 2020,305,b'1223607827538771968'
44973,Twitter Web App,"b'UNIVERSITIES: We might need to go fully online if coronavirus hits campus\n\nPROFESSORS: OK, how exactly?\n\nUNIVERSITI\xe2\x80\xa6 https://t.co/VOd1KnQVFK'",,False,Fri Mar 06 19:22:54 +0000 2020,3110,b'1236009378295103488'
5649,Twitter for Android,"b'""When you\'re doing shows as part of the band, people have come to see a band. It never really feels like they\'re th\xe2\x80\xa6 https://t.co/3xqJvCCRMM'",,False,Wed Mar 04 15:52:38 +0000 2020,454,b'1235231687715565568'
1284,Twitter for iPhone,b'Wow-Pence either does not know that Trump is rolling back Medicaid or he is a really good actor. This is how little\xe2\x80\xa6 https://t.co/LTDZpkcogr',,False,Sat Feb 01 11:27:40 +0000 2020,585,b'1223568595701129217'
84,Twitter for Android,"b""Ok Star Trek friends.... I want your opinion. How do you feel about this being sold as a shirt? I'm pretty offended\xe2\x80\xa6 https://t.co/DUAz2lcEwJ""",,False,Mon Mar 02 13:01:53 +0000 2020,7,b'1234463942874976257'
664,Twitter for iPhone,"b""It's shameful and downright inhuman to cheer for a deadly Virus to spread - and enjoy seeing people suffer for it,\xe2\x80\xa6 https://t.co/jAgqQLc9Cc""",,False,Wed Feb 26 08:51:48 +0000 2020,259,b'1232589067470110720'
483,Twitter Media Studio,"b""B.C.'s provincial health officer teared up discussing the impacts of the novel coronavirus on senior citizens durin\xe2\x80\xa6 https://t.co/yvssXAcBn1""",,False,Sat Mar 07 18:55:07 +0000 2020,186,b'1236364775929643010'
3033,Twitter for iPhone,b'Let\xe2\x80\x99s say Ukraine announced an investigation into the Bidens. How would this \xe2\x80\x9crig\xe2\x80\x9d the 2020 election? How many Amer\xe2\x80\xa6 https://t.co/hzWVh19fhz',,False,Fri Jan 31 15:25:59 +0000 2020,711,b'1223266180737138688'
436,Twitter for iPhone,"b'Human feel bad. So setzer logged in &amp;changed her schedule. Next term she take How to Spoil Cat 101 (with lab), Inte\xe2\x80\xa6 https://t.co/czXppR7Djs'",,False,Sat Feb 29 04:01:20 +0000 2020,26,b'1233603132564758528'
19221,Twitter for Android,"b""--I was honored when MJ wanted me to play the younger him. Won't ever feel real. #GOAT!!!! https://t.co/kUcdrtguAX""",,False,Mon Mar 02 19:56:08 +0000 2020,3474,b'1234568190602039296'
1084,Twitter Web Client,b'Sick... Sky News economics editor Ed Conway writes in @TheTimes that climate activists should embrace #coronavirus\xe2\x80\xa6 https://t.co/sLhTLYfepM',,False,Fri Mar 06 15:08:02 +0000 2020,781,b'1235945240285999104'
6346,Twitter Web App,"b""I'm extremely saddened to learn of the first fatality in our district from coronavirus, a Northwest Floridian resid\xe2\x80\xa6 https://t.co/FKLcx0BG6d""",,False,Sat Mar 07 04:58:00 +0000 2020,848,b'1236154105980235776'
3320,Twitter Web App,b'Our nation is in a clean water crisis and yet Trump is determined to continue catering to polluters. Clean water is\xe2\x80\xa6 https://t.co/QBbv6VynqS',,False,Tue Jan 28 22:52:09 +0000 2020,1001,b'1222291298310393856'
353,Twitter Web App,"b'instead of giving up social media for lent, i decided to try to #BlessTheMedia by posting a saint quote every day.\xe2\x80\xa6 https://t.co/lMPh6JcmvA'",,False,Wed Feb 26 17:23:02 +0000 2020,39,b'1232717722737229824'
3546,Twitter for Android,b'Fun fact: Nintendo used to compete with Lego using their own N&amp;B Block. https://t.co/fLLp39dRtg',,False,Tue Mar 10 14:20:34 +0000 2020,412,b'1237382843694710785'
1289,Twitter Web Client,b'First Lady Melania Trump is tantruming over criticism that she is spending her time building a White House tennis p\xe2\x80\xa6 https://t.co/ai5LbxUrva',,False,Sat Mar 07 19:20:48 +0000 2020,562,b'1236371238223785996'
3080,Twitter for iPhone,"b'So Lamar Alexander is saying Trump did attempt to tamper w the election, but we should let the election decide Trum\xe2\x80\xa6 https://t.co/f29bgy0gtZ'",,False,Fri Jan 31 17:19:47 +0000 2020,458,b'1223294820132671488'
173,TweetDeck,"b'ORDER: #SanFrancisco bans events for 2 weeks due to #coronavirus, failure to comply will result in a misdemeanor pu\xe2\x80\xa6 https://t.co/xIWP3IYmUA'",,False,Sun Mar 08 02:51:41 +0000 2020,121,b'1236484705647652864'
2727,Twitter Web App,"b""Let's talk about school closures re COVID-19. It's a tough topic, scientifically and pragmatically. It's hard to es\xe2\x80\xa6 https://t.co/DEnzhGl3zH""",,False,Wed Mar 04 14:04:22 +0000 2020,1419,b'1235204443362205699'
3184,Twitter for Android,b'North Korea shot their first confirmed case of #COVID19 to death.\n\nIsrael will have a vaccine for the virus ready i\xe2\x80\xa6 https://t.co/lsBEivblE4',,False,Sat Feb 29 10:48:55 +0000 2020,1168,b'1233705703937888258'
348,Twitter for iPhone,b'How old were you when Airplane Conversations was released? https://t.co/WnU9icLWjO',,False,Sun Feb 23 18:50:59 +0000 2020,4,b'1231652691924914181'
7179,Twitter for iPhone,"b'Happy birthday my love, thank God for your life. I love you forever!\xe2\x99\xa5\xef\xb8\x8f https://t.co/eCGYiwcs6k'",,False,Sat Feb 01 22:03:42 +0000 2020,229,b'1223728658516533249'
986,Twitter for iPhone,"b'Ok well, the bar is high but this may be the scariest interview I\xe2\x80\x99ve seen yet re Coronavirus https://t.co/V9hjAozpWq'",,False,Sat Mar 07 03:30:55 +0000 2020,512,b'1236132190653726721'
1675,Twitter for iPhone,"b""Folks on twitter know I'm scrupulously objective &amp; analytical about the Brexit views I put up. But on this occasion\xe2\x80\xa6 https://t.co/182gsA4Jsz""",,False,Fri Jan 31 17:34:13 +0000 2020,240,b'1223298453880606722'
1612,Twitter Web App,"b""Hillary Clinton took on Trump when he slandered these women. She worked to support women's races in 2018, which ele\xe2\x80\xa6 https://t.co/F860kvoUfw""",,False,Sat Feb 01 13:41:05 +0000 2020,422,b'1223602170353897472'
3589,Twitter for iPhone,"b'EXO-Ls have donated 12,480,000 Won to help those that has been affected by Corona 19 \n\nFollowing the footsteps of E\xe2\x80\xa6 https://t.co/vS58qsv2bW'",,False,Mon Mar 09 03:20:24 +0000 2020,3388,b'1236854319556612097'
1140,Twitter for iPhone,b'Democrat Diane Feinstein leans toward acquitting Trump as his lawyers end their impeachment defense arguments https://t.co/979F6feJke',,False,Tue Jan 28 22:11:28 +0000 2020,355,b'1222281059158708225'
2589,Twitter for Android,b'I just got a pixie cut again &amp; I feel more powerful than ever https://t.co/rvLsQwYcn3',,False,Fri Feb 28 19:17:17 +0000 2020,44,b'1233471250267287552'
254,Twitter for iPhone,b'Mum feels a bit crappy this morning \nBut my whiskers are as amazing as ever!!\n\nHappy #whiskerswednesday everyone!!\xe2\x80\xa6 https://t.co/By3sk9vz8T',,False,Wed Feb 26 07:00:03 +0000 2020,14,b'1232560942904479744'
397,Twitter for Android,"b""'a block of Green &amp; centre-left TDs could, if they were prepared to act together in a coherent &amp; disciplined manner\xe2\x80\xa6 https://t.co/GxkqDVUFl4""",,False,Sat Jan 25 10:06:36 +0000 2020,49,b'1221011480730112001'
229,TweetDeck,"b""Anyone else think the character's eyes in 'Connected' look too... surprised? I'm no expert, but they seems too exag\xe2\x80\xa6 https://t.co/oMSTvse7Gf""",,False,Tue Mar 03 23:56:48 +0000 2020,8,b'1234991145509277696'
